ToA 	 ToA_mid 	 ToA_start 	 ToA_end 	 ToA_lenInt 	 ToA_exp 	 nbr_events 	 count_rate 	 phShift 	 phShift_LL 	 phShift_UL 	 Hpower 	 redChi2
42	58359.491740386766	58359.458442143	58359.525038917	0.066596775	611.758924671	10000.0	16.34630832	0.058747955432760346	0.034557519189487726	0.034557519189487726	296.0129932067555	2.4390303725391087
43	58359.55821856107	58359.525040426	58359.591396696	0.066356269	601.979809161	10000.0	16.611852836	0.010030106985040366	0.034557519189487726	0.034557519189487726	332.8215895482924	0.8673325486172032
44	58359.62413598984	58359.591396773	58359.656875251	0.065478478	533.139054012	8938.0	16.764856997	0.03002204695853905	0.04084070449666731	0.04084070449666731	303.1690142397982	1.4491292528838926
45	58361.71149279221	58361.707973516	58361.715012068	0.007038552	608.13085204	10000.0	16.443829427	-0.008241429796539634	0.034557519189487726	0.034557519189487726	332.1013169144882	0.6277023126502687
46	58361.74612572931	58361.715012175	58361.777238935	0.06222676	607.210268872	10000.0	16.468759691	0.028777755283193596	0.034557519189487726	0.034557519189487726	305.34472806075956	1.642632523726752
47	58361.781502629296	58361.777239195	58361.785764906	0.008525711	596.618029755	10000.0	16.76114281	0.02312490768817499	0.034557519189487726	0.034557519189487726	346.09095205415235	2.3431947304052168
48	58361.84761979607	58361.785767119	58361.909470078	0.12370296	624.547044304	10000.0	16.011604076	0.005962219406925762	0.04084070449666731	0.034557519189487726	253.70777471331584	1.2754995833288756
49	58361.94062497059	58361.909471076	58361.971778865	0.0623077890049899	671.145832236	10818.0	16.11870249414882	-0.009639152416876406	0.034557519189487726	0.034557519189487726	406.57164076194425	1.0344391131538322
50	58364.34749674292	58364.34388173	58364.351111756	0.007230026	624.674207415	10000.0	16.00834464	-0.018155954891925674	0.034557519189487726	0.034557519189487726	333.4937019150811	1.0242773936538918
51	58364.35467635658	58364.351112297	58364.358240416	0.007128118	615.869410825	10000.0	16.237208447	-0.0013797910464297125	0.034557519189487726	0.034557519189487726	319.0344477609465	0.7937846012796952
52	58364.45051225161	58364.358240919	58364.542783639	0.18454272	620.92985725	10000.0	16.104878648	-0.03196937617297868	0.034557519189487726	0.034557519189487726	348.5445290859444	0.9935968689152528
53	58364.54597503483	58364.542784635	58364.549165435	0.006380799	551.301073283	10000.0	18.138909	0.00247866197156954	0.04084070449666731	0.04084070449666731	249.75010793544627	1.6159398595438963
54	58364.550906113254	58364.549165726	58364.552646321	0.003480596	300.723478873	5824.0	19.366628844	-0.08092171010048377	0.0471238898038469	0.0471238898038469	170.92556017579798	1.747774074068944
55	58366.33927890142	58366.335711321	58366.342845004	0.007133684	614.350166149	10000.0	16.27736192	0.0075602505141527665	0.034557519189487726	0.034557519189487726	303.74951224382374	1.52390116547056
56	58366.34632187207	58366.342845353	58366.349798391	0.006953037	598.742355639	10000.0	16.701674611	-0.01663421805041132	0.034557519189487726	0.034557519189487726	302.32618010314525	1.116895019758235
57	58366.37761320814	58366.349798851	58366.405427565	0.055628714	609.173621982	10000.0	16.415681243	0.027846156862651128	0.034557519189487726	0.034557519189487726	274.74780908044033	1.453846471947153
58	58366.408772401584	58366.405427832	58366.412116971	0.006689139	575.941506797	10000.0	17.362874323	-0.03167466954136566	0.04084070449666731	0.04084070449666731	251.48148194036656	1.3254689932737689
59	58366.41401423725	58366.412117121	58366.415910788	0.003793667	327.772836154	5463.0	16.667030935	0.028825821937684015	0.0471238898038469	0.0471238898038469	127.58534535809584	1.089890341769098
60	58559.04716763424	58559.044224448	58559.050111856	0.005887408	508.67204417	10000.0	19.659032012	0.04337456048476129	0.04084070449666731	0.04084070449666731	209.9167385060009	0.7356625413175272
61	58559.05230236498	58559.050114056	58559.054489894	0.004375838	378.072411194	7490.0	19.811019737	-0.01295057540450495	0.0471238898038469	0.0471238898038469	145.2125675197558	1.0052358774550865
62	58570.02265338438	58569.999822002	58570.045482174	0.045660173	634.092158242	10000.0	15.770578251	-0.03135876502088886	0.034557519189487726	0.034557519189487726	268.93950420168113	1.5946771378625082
63	58570.05648822381	58570.045484286	58570.067493295	0.0220090090006124	739.5908712400001	11655.0	15.75871262507499	-0.011249376577516568	0.034557519189487726	0.034557519189487726	384.39625476195056	0.7949598062949353
64	58574.03396261127	58574.030513066	58574.037413427	0.006900362	596.191242943	10000.0	16.773141368	0.014165677232990781	0.04084070449666731	0.04084070449666731	286.32361313901595	1.9171761377936933
65	58574.040450764485	58574.037414171	58574.043487358	0.006073186	524.723304925	8801.0	16.772649351	0.01125455429070632	0.04084070449666731	0.04084070449666731	306.117555362905	1.3693415226409735
66	58585.31162824338	58585.307321992	58585.315932627	0.0086106350063346	743.933129171	12415.0	16.688327906346398	0.5697488927348942	0.034557519189487726	0.034557519189487726	361.6773847925186	1.779163709383194
67	58600.05925206591	58600.055716557	58600.062788193	0.007071637	610.989401839	10000.0	16.366896005	1.1637622691642013	0.04084070449666731	0.034557519189487726	295.622543801826	1.194285130640271
68	58600.066091996974	58600.062788342	58600.069395736	0.006607395	568.878923776	9263.0	16.282902412	1.167945543242526	0.04084070449666731	0.04084070449666731	255.4927409406921	1.2336018079774231
69	58611.382912070905	58611.378742219	58611.387081923	0.008339704	607.546369568	10000.0	16.459649009	1.704773885603026	0.034557519189487726	0.034557519189487726	301.01087171565405	1.9168126273820922
70	58611.39067290374	58611.38708246	58611.394263345	0.007180885	620.428487007	10000.0	16.117893052	1.6147133125232633	0.034557519189487726	0.034557519189487726	310.10221920245004	1.202847880843287
71	58611.3983774831	58611.39426398	58611.402491442	0.0082274619999225	710.849612555	11441.0	16.094824837672377	1.6507292215645233	0.034557519189487726	0.034557519189487726	346.2563219114725	1.4165907979989993
72	58624.00787908808	58624.004520022	58624.011237295	0.006717273	580.372356833	10000.0	17.230317541	2.2541999690015846	0.04084070449666731	0.04084070449666731	296.5854935312158	0.8791993622126315
73	58624.01454099774	58624.011237933	58624.017848774	0.006610841	559.176505823	8936.0	15.980642797	2.320059956030165	0.04084070449666731	0.04084070449666731	261.63723001920164	1.2380570171075027
74	58638.35467261673	58638.350188675	58638.35911737	0.008928695	598.431283096	5145.0	8.597478349	2.8959002898743345	0.04084070449666731	0.04084070449666731	114.3903635433168	20.849986982495054
75	58652.009010851936	58651.999151612	58652.018870092	0.01971848	656.612086133	10000.0	15.229692251	-2.7644178494552447	0.034557519189487726	0.034557519189487726	303.5232233677292	1.7113770485003639
76	58652.022847453634	58652.018870282	58652.026824891	0.0079546089982613	621.2472137059999	10561.0	16.999673828714997	-2.710381154665057	0.034557519189487726	0.034557519189487726	228.55566380843172	1.703150472619974
77	58665.428475222856	58665.425027019	58665.431924468	0.006897449	595.9396224	10000.0	16.780223405	-2.054514905927533	0.034557519189487726	0.034557519189487726	359.63373819665907	1.305293765475596
78	58665.46500714429	58665.431925916	58665.498112869	0.0661869530013063	815.180885699	11188.0	13.724561255391228	-2.0074371717915724	0.034557519189487726	0.034557519189487726	355.9691911769769	3.7379596422369348
79	58680.96389470832	58680.958251704	58680.969536339	0.0112846349948085	974.860352394	14298.0	14.666716073628267	-1.3547383820345067	0.034557519189487726	0.034557519189487726	424.43970424937066	3.6288606752893364
80	58694.673337949294	58694.670006488	58694.676672459	0.006665972	575.939955306	10000.0	17.362921096	-0.6771461129890599	0.034557519189487726	0.034557519189487726	311.53564746043685	0.9222884369816128
81	58694.70966692097	58694.676672613	58694.742660598	0.0659879849990829	852.109513851	14897.0	17.482494629915482	-0.6825727157305823	0.034557519189487726	0.034557519189487726	390.1962538149654	1.6154080576461876
82	58722.374076826585	58722.369405941	58722.378744353	0.0093384120045811	806.8022441349999	13415.0	16.627370706414776	0.6400963367735306	0.034557519189487726	0.034557519189487726	450.2059696381617	1.7665915749242251
83	58736.12272821646	58736.117834883	58736.12762483	0.0097899469983531	843.795057968	14070.0	16.67466509448742	1.3811433431704012	0.034557519189487726	0.034557519189487726	405.84934108145103	1.296443243635556
